,Date,Startup,Industry,Location,Investor,Type,Amount
195,13-08-2019,Uniphore,Customer Service Platform,Palo Alto ,March Capital Partners,Series C,"5,10,00,000"
196,23-08-2019,Zendrive,Automotive,San Francisco,XL Innovate,Series B,"3,70,00,000"
197,23-08-2019,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"5,00,000"
198,23-08-2019,Tala,FinTech,Santa Monica,RPS Ventures,Series D,"11,00,00,000"
199,22-08-2019,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,"1,50,00,000"
200,21-08-2019,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000"
201,23-08-2019,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,"10,00,000"
202,19-08-2019,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,Undisclosed
203,19-08-2019,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,"7,00,00,000"
204,27-08-2019,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000"
205,02-07-2019,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000"
206,02-07-2019,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000"
207,01-07-2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,"1,45,000"
208,03-07-2019,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000"
209,01-07-2019,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,"3,80,80,000"
210,04-07-2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,"5,00,000"
211,10-07-2019,BYJU'S,EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000"
212,11-07-2019,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000"
213,10-07-2019,Ezyhaul,Tech,Singapore,Undisclosed,Series B,"1,60,00,000"
214,10-07-2019,Indus OS,Tech,Andheri,Ventureast,Series B,"57,50,000"
215,10-07-2019,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,"25,00,000"
216,09-07-2019,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,"10,00,000"
217,08-07-2019,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,"3,19,605"
218,05-06-2019,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,"5,10,00,000"
219,04-06-2019,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000"
220,03-06-2019,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"48,89,975.54"
221,03-06-2019,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,"90,00,000"
222,04-06-2019,BharatPe,Finance,New Delhi,Insight Partners,Series B,"7,50,00,000"
223,04-06-2019,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh ",pre-Series A,"2,60,00,000"
224,03-06-2019,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000"
225,06-06-2019,Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"27,39,034.68"
226,06-06-2019,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,"2,60,00,000"
227,06-06-2019,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners ,Series B,"1,51,09,500.00"
228,10-06-2019,Bolo App,Digital Media,Bengaluru ,Nexus Venture Partners,Seed Funding,"4,30,200"
229,10-06-2019,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,"1,55,00,000"
230,06-06-2019,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,"5,20,00,000"
